Building Class,Say,Sdy,Sdult,Drift - Slight [%],Drift - Moderate [%],Drift - Extensive [%],Drift - Complete [%]
CR_LFINF+CDL+DUL_H1,0.42868365420181986,0.002526315789473684,0.027368421052631573,0.002526315789473684,0.010724210526315787,0.01917052631578947,0.027368421052631573
CR_LFINF+CDL+DUL_H2,0.2250589184559554,0.005305263157894736,0.051452631578947354,0.005305263157894736,0.0205338947368421,0.03622399999999999,0.051452631578947354
CR_LFINF+CDL+DUL_H3,0.16004189756867943,0.008488421052631574,0.0714315789473684,0.008488421052631574,0.029259663157894727,0.050660336842105254,0.0714315789473684
CR_LFINF+CDL+DUL_H4,0.12860509626054595,0.01212631578947368,0.0886736842105263,0.01212631578947368,0.03738694736842105,0.06341305263157894,0.0886736842105263
CR_LFINF+CDL+DUL_H5,0.10888564816726223,0.016042105263157896,0.10126315789473685,0.016042105263157896,0.04416505263157895,0.0731402105263158,0.10126315789473685
CR_LFINF+CDL+DUL_H6,0.09645382219540947,0.020463157894736836,0.11658947368421048,0.020463157894736836,0.05218484210526314,0.08486778947368417,0.11658947368421048
CR_LFINF+CDL+DUL_H7,0.08696154128094061,0.025111578947368412,0.12835789473684212,0.025111578947368412,0.059182863157894734,0.0942866105263158,0.12835789473684212
CR_LFINF+CDL+DUL_H8,0.08037818516284122,0.030315789473684206,0.14012631578947363,0.030315789473684206,0.06655326315789471,0.10388884210526311,0.14012631578947363
CR_LFINF+CDL+DUL_H9,0.07478148189965082,0.03569684210526315,0.14778947368421047,0.03569684210526315,0.07268741052631578,0.11079890526315786,0.14778947368421047
CR_LFINF+CDL+DUL_H10,0.07073280294330025,0.041684210526315775,0.15599999999999997,0.041684210526315775,0.07940842105263156,0.1182757894736842,0.15599999999999997
